account_id,company_name,industry,tier,arr,renewal_date,days_to_renewal,health_score,login_drop_rate,support_tickets,resolution_time_hours,payment_failures,nps_score,license_utilization,storage_utilization,feature_usage_score,churn_risk_label,upsell_opportunity_label,last_contact_date
ACC-1196,Company-1196,Manufacturing,Basic,15025,2026-11-13,285,75,0.42,2,45,0,8,0.12,0.74,23,0,0,2026-01-28
ACC-1197,Company-1197,Manufacturing,Basic,9938,2026-04-12,70,73,0.31,6,11,0,7,0.69,0.5,100,0,0,2025-12-16
ACC-1198,Company-1198,Healthcare,Pro,31008,2026-06-17,136,97,0.06,0,29,0,10,0.3,0.63,32,0,0,2026-01-09
ACC-1199,Company-1199,Healthcare,Pro,35262,2026-03-12,39,76,0.33,4,15,0,5,0.55,0.85,73,0,1,2026-01-23
ACC-1200,Company-1200,Technology,Pro,42724,2027-01-08,341,92,0.12,1,31,0,10,0.36,0.84,22,0,1,2026-01-12
ACC-1201,Company-1201,Healthcare,Basic,8599,2026-05-12,100,78,0.13,8,30,0,9,0.67,0.79,53,0,1,2025-12-24
ACC-1202,Company-1202,Manufacturing,Pro,38717,2026-12-10,312,66,0.29,0,9,1,9,0.25,0.11,64,1,0,2026-01-23
ACC-1203,Company-1203,Manufacturing,Basic,17218,2026-05-03,91,76,0.17,8,24,0,7,0.46,0.88,89,0,1,2025-12-16
ACC-1204,Company-1204,Finance,Pro,48286,2026-09-24,235,84,0.01,8,12,0,7,0.76,0.68,90,0,0,2026-01-23
ACC-1205,Company-1205,Healthcare,Basic,6188,2026-02-21,20,82,0.25,3,43,0,4,0.66,0.24,37,0,0,2025-12-26
ACC-1206,Company-1206,Retail,Basic,9126,2026-03-03,30,82,0.28,2,28,0,5,0.29,0.84,97,0,1,2025-12-14
ACC-1207,Company-1207,Retail,Enterprise,237615,2026-10-30,271,93,0.03,3,6,0,5,0.43,0.9,47,0,1,2026-01-20
ACC-1208,Company-1208,Retail,Basic,12150,2026-09-17,228,79,0.18,6,43,0,8,0.89,0.75,92,0,1,2026-01-11
ACC-1209,Company-1209,Manufacturing,Basic,14606,2026-11-21,293,81,0.27,3,26,0,5,0.39,0.33,73,0,0,2025-12-06
ACC-1210,Company-1210,Technology,Enterprise,118945,2026-03-31,58,78,0.36,2,31,0,8,0.26,0.28,52,0,0,2025-12-13
ACC-1211,Company-1211,Finance,Pro,25470,2026-01-06,-26,89,0.19,1,18,0,4,0.56,0.53,42,0,0,2025-12-13
ACC-1212,Company-1212,Healthcare,Enterprise,205328,2026-06-27,146,97,0.06,0,44,0,7,0.79,0.11,75,0,0,2025-12-05
ACC-1213,Company-1213,Technology,Pro,49097,2026-09-13,224,94,0.12,0,31,0,9,0.88,0.84,94,0,1,2025-12-13
ACC-1214,Company-1214,Finance,Enterprise,128250,2026-11-16,288,87,0.22,1,26,0,10,0.74,0.82,58,0,1,2025-12-12
ACC-1215,Company-1215,Manufacturing,Basic,19288,2026-05-07,95,74,0.48,1,12,0,7,0.73,0.77,17,0,1,2026-01-29
ACC-1216,Company-1216,Retail,Pro,37386,2026-05-01,89,67,0.43,6,42,0,7,0.21,0.37,62,1,0,2026-01-28
ACC-1217,Company-1217,Healthcare,Basic,19294,2026-10-10,251,76,0.09,0,23,1,6,0.17,0.34,18,1,0,2025-12-13
ACC-1218,Company-1218,Manufacturing,Basic,19924,2027-01-15,348,91,0.11,2,24,0,10,0.28,0.67,78,0,0,2026-01-06
ACC-1219,Company-1219,Manufacturing,Basic,14055,2027-01-17,350,83,0.31,1,20,0,4,0.53,0.25,20,0,0,2026-01-22
ACC-1220,Company-1220,Technology,Basic,18377,2026-01-21,-11,81,0.34,1,18,0,4,0.13,0.34,41,0,0,2026-01-12
ACC-1221,Company-1221,Finance,Pro,36552,2026-10-28,269,90,0.21,0,48,0,4,0.47,0.82,15,0,1,2026-01-01
ACC-1222,Company-1222,Retail,Basic,17463,2026-12-16,318,79,0.31,3,13,0,6,0.21,0.16,70,0,0,2025-12-05
ACC-1223,Company-1223,Retail,Basic,7912,2026-06-27,146,68,0.4,6,27,0,8,0.62,0.68,81,0,0,2025-12-08
ACC-1224,Company-1224,Retail,Pro,21036,2026-08-28,208,97,0.02,1,13,0,9,0.37,0.23,94,0,0,2025-12-27
ACC-1225,Company-1225,Technology,Basic,6635,2026-10-27,268,76,0.32,4,5,0,6,0.55,0.68,52,0,0,2025-12-23
ACC-1226,Company-1226,Manufacturing,Enterprise,228330,2026-02-15,14,73,0.3,6,6,0,6,0.26,0.48,43,0,0,2025-12-26
ACC-1227,Company-1227,Healthcare,Pro,49792,2026-11-24,296,91,0.11,2,45,0,5,0.99,0.98,40,0,1,2026-01-16
ACC-1228,Company-1228,Finance,Pro,20805,2026-03-18,45,96,0.01,2,17,0,10,0.95,0.27,21,0,1,2025-12-09
ACC-1229,Company-1229,Technology,Pro,23977,2026-06-18,137,85,0.26,1,38,0,8,0.2,0.2,50,0,0,2025-12-22
ACC-1230,Company-1230,Healthcare,Pro,43790,2026-09-30,241,93,0.03,3,27,0,10,0.55,0.22,58,0,0,2025-12-06
ACC-1231,Company-1231,Retail,Basic,16358,2026-08-20,200,81,0.15,6,39,0,8,0.5,0.94,32,0,1,2025-12-20
ACC-1232,Company-1232,Healthcare,Pro,48952,2026-09-18,229,92,0.08,2,35,0,6,0.15,0.27,16,0,0,2026-01-29
ACC-1233,Company-1233,Healthcare,Basic,7941,2026-07-10,159,89,0.02,5,25,0,8,0.43,0.74,100,0,0,2026-01-07
ACC-1234,Company-1234,Manufacturing,Pro,35283,2026-03-25,52,89,0.11,3,45,0,9,0.67,0.73,14,0,0,2026-01-10
ACC-1235,Company-1235,Healthcare,Basic,17436,2026-05-04,92,66,0.49,5,24,0,5,0.72,0.87,71,1,0,2025-12-16
ACC-1236,Company-1236,Finance,Pro,43963,2026-05-02,90,67,0.46,5,41,0,8,0.53,0.72,34,0,0,2025-12-18
ACC-1237,Company-1237,Finance,Pro,43028,2026-05-21,109,75,0.19,8,28,0,4,0.68,0.32,31,1,0,2025-12-21
ACC-1238,Company-1238,Healthcare,Basic,14906,2026-05-23,111,75,0.31,5,17,0,4,0.13,0.63,40,0,0,2025-12-19
ACC-1239,Company-1239,Manufacturing,Pro,21012,2026-09-17,228,70,0.32,7,13,0,9,0.14,0.4,12,0,0,2026-01-18
ACC-1240,Company-1240,Finance,Pro,43490,2026-12-04,306,84,0.08,6,11,0,7,0.65,0.93,52,0,1,2026-01-08
ACC-1241,Company-1241,Finance,Enterprise,124974,2026-08-15,195,82,0.04,8,15,0,6,0.81,0.92,37,0,1,2025-12-22
ACC-1242,Company-1242,Retail,Enterprise,245669,2026-03-11,38,89,0.02,5,25,0,5,0.63,0.64,62,0,0,2026-01-01
ACC-1243,Company-1243,Healthcare,Pro,38776,2026-04-15,73,93,0.14,0,30,0,4,0.37,0.22,49,0,0,2025-12-16
ACC-1244,Company-1244,Technology,Enterprise,118966,2026-10-06,247,80,0.37,1,30,0,10,0.53,0.49,23,0,0,2025-12-30
ACC-1245,Company-1245,Retail,Pro,46851,2026-08-13,193,82,0.32,1,23,0,5,0.99,0.66,84,0,1,2025-12-29
ACC-1246,Company-1246,Retail,Basic,13565,2026-07-04,153,74,0.24,7,3,0,5,0.26,0.77,82,1,0,2026-01-12
ACC-1247,Company-1247,Healthcare,Enterprise,244995,2026-08-07,187,92,0.13,1,8,0,7,0.56,0.91,80,0,1,2025-12-03
ACC-1248,Company-1248,Manufacturing,Enterprise,63383,2026-02-16,15,72,0.33,6,44,0,8,0.69,0.68,40,0,0,2026-01-29
ACC-1249,Company-1249,Finance,Enterprise,68604,2026-09-21,232,70,0.44,4,23,0,10,0.93,0.32,10,0,1,2026-01-08
ACC-1250,Company-1250,Healthcare,Pro,41595,2027-01-11,344,80,0.09,8,32,0,9,0.23,0.4,25,0,0,2025-12-12
ACC-1251,Company-1251,Technology,Basic,10103,2026-05-30,118,98,0.05,0,36,0,8,0.36,0.14,81,0,0,2025-12-08
ACC-1252,Company-1252,Healthcare,Pro,34616,2026-03-06,33,69,0.39,6,32,0,5,0.47,0.4,59,1,0,2026-01-27
ACC-1253,Company-1253,Retail,Pro,48377,2026-03-12,39,88,0.01,6,10,0,9,0.92,0.92,93,0,1,2025-12-07
ACC-1254,Company-1254,Technology,Pro,25897,2026-09-16,227,86,0.04,6,45,0,4,0.21,0.34,83,1,0,2025-12-08
ACC-1255,Company-1255,Finance,Basic,17752,2026-11-16,288,79,0.18,6,25,0,5,0.23,0.78,38,1,0,2025-12-20
ACC-1256,Company-1256,Healthcare,Basic,14684,2026-01-02,-30,87,0.18,2,3,0,6,0.76,0.59,64,0,0,2026-01-28
ACC-1257,Company-1257,Retail,Basic,13343,2026-11-26,298,76,0.49,0,10,0,6,0.35,0.97,51,0,1,2026-01-15
ACC-1258,Company-1258,Technology,Pro,36774,2026-11-26,298,67,0.47,5,24,0,10,0.93,0.65,68,0,1,2025-12-04
ACC-1259,Company-1259,Finance,Basic,5595,2026-10-01,242,84,0.2,3,20,0,10,0.71,0.14,41,0,0,2025-12-08
ACC-1260,Company-1260,Retail,Enterprise,205229,2026-04-02,60,85,0.06,6,28,0,8,0.45,0.59,74,0,0,2025-12-18
ACC-1261,Company-1261,Retail,Enterprise,138232,2026-04-15,73,71,0.39,5,30,0,4,0.83,0.21,60,0,1,2025-12-17
ACC-1262,Company-1262,Healthcare,Pro,25997,2026-06-18,137,75,0.34,4,44,0,4,0.24,0.67,82,0,0,2026-01-21
ACC-1263,Company-1263,Healthcare,Enterprise,119235,2026-01-02,-30,92,0.12,1,15,0,4,0.52,0.89,57,0,1,2025-12-10
ACC-1264,Company-1264,Manufacturing,Enterprise,163587,2026-05-30,118,84,0.09,6,22,0,10,0.7,0.1,12,0,0,2026-01-01
ACC-1265,Company-1265,Technology,Basic,15800,2026-10-29,270,86,0.17,3,15,0,9,0.67,0.96,32,0,1,2025-12-12
ACC-1266,Company-1266,Healthcare,Basic,10143,2026-02-22,21,80,0.2,5,2,0,4,0.17,0.93,50,0,1,2025-12-24
ACC-1267,Company-1267,Technology,Enterprise,65170,2026-03-13,40,74,0.28,6,38,0,7,0.48,0.36,32,0,0,2025-12-19
ACC-1268,Company-1268,Technology,Pro,46467,2026-10-17,258,72,0.4,4,24,0,4,0.22,0.23,79,0,0,2026-01-27
ACC-1269,Company-1269,Manufacturing,Enterprise,99106,2026-11-08,280,78,0.45,0,2,0,6,0.13,0.22,24,0,0,2025-12-12
ACC-1270,Company-1270,Retail,Pro,41126,2026-12-31,333,66,0.4,7,36,0,4,0.91,0.45,90,1,0,2026-01-16
ACC-1271,Company-1271,Finance,Basic,14621,2026-07-14,163,84,0.05,7,46,0,6,0.79,0.75,42,0,0,2026-01-21
ACC-1272,Company-1272,Retail,Basic,7483,2027-01-19,352,79,0.18,6,10,0,10,0.96,0.27,70,0,1,2026-01-18
ACC-1273,Company-1273,Manufacturing,Basic,6942,2026-06-11,130,84,0.04,7,26,0,9,0.37,0.33,55,0,0,2025-12-23
ACC-1274,Company-1274,Finance,Basic,13348,2026-03-20,47,83,0.18,4,37,0,10,0.28,0.13,90,0,0,2025-12-11
ACC-1275,Company-1275,Technology,Enterprise,74216,2026-07-08,157,99,0.03,0,18,0,10,0.32,0.43,45,0,0,2026-01-30
ACC-1276,Company-1276,Retail,Enterprise,224387,2027-01-13,346,90,0.04,4,36,0,9,0.69,0.38,99,0,0,2025-12-19
ACC-1277,Company-1277,Healthcare,Basic,10264,2026-04-22,80,64,0.05,7,43,1,7,0.27,0.36,79,1,0,2026-01-21
ACC-1278,Company-1278,Retail,Pro,28004,2026-01-25,-7,81,0.15,6,21,0,7,0.16,0.19,41,0,0,2025-12-24
ACC-1279,Company-1279,Retail,Enterprise,248942,2026-02-28,27,86,0.28,0,5,0,6,0.74,0.83,83,0,1,2026-01-08
ACC-1280,Company-1280,Manufacturing,Pro,44476,2026-09-22,233,83,0.02,8,6,0,5,0.88,0.28,64,1,0,2026-01-30
ACC-1281,Company-1281,Manufacturing,Basic,18633,2026-03-13,40,80,0.17,6,6,0,7,0.37,0.5,85,0,0,2025-12-04
ACC-1282,Company-1282,Manufacturing,Basic,7333,2026-01-21,-11,81,0.35,1,34,0,6,0.35,0.9,17,0,1,2025-12-13
ACC-1283,Company-1283,Finance,Pro,44322,2026-12-17,319,78,0.45,0,22,0,6,0.91,0.23,66,0,1,2025-12-16
ACC-1284,Company-1284,Retail,Enterprise,212388,2026-08-01,181,76,0.48,0,9,0,4,0.95,0.21,53,1,0,2026-01-15
ACC-1285,Company-1285,Finance,Basic,7847,2026-03-06,33,94,0.12,0,47,0,9,0.56,0.14,12,0,0,2025-12-09
ACC-1286,Company-1286,Manufacturing,Basic,9330,2027-01-25,358,93,0.02,3,29,0,10,0.74,0.42,70,0,0,2026-01-06
ACC-1287,Company-1287,Manufacturing,Enterprise,185303,2026-09-08,219,73,0.43,3,34,0,7,0.41,0.69,30,0,0,2025-12-10
ACC-1288,Company-1288,Retail,Basic,18946,2027-01-13,346,62,0.49,7,20,0,8,0.46,0.79,83,1,0,2026-01-12
ACC-1289,Company-1289,Manufacturing,Pro,48397,2026-08-08,188,88,0.17,2,16,0,4,0.47,0.91,97,0,1,2025-12-10
ACC-1290,Company-1290,Healthcare,Basic,7855,2026-12-23,325,88,0.09,4,24,0,4,0.81,0.72,12,0,1,2025-12-03
ACC-1291,Company-1291,Technology,Enterprise,192454,2026-03-22,49,82,0.36,0,10,0,10,0.82,0.17,84,0,1,2025-12-20
ACC-1292,Company-1292,Technology,Pro,31708,2026-04-14,72,88,0.01,6,28,0,6,0.27,0.69,54,0,0,2026-01-12
ACC-1293,Company-1293,Healthcare,Pro,33984,2026-08-22,202,70,0.08,3,31,1,7,0.81,0.31,51,1,0,2025-12-13
ACC-1294,Company-1294,Healthcare,Basic,6111,2026-03-02,29,75,0.34,4,25,0,4,0.93,0.22,87,0,1,2025-12-14
ACC-1295,Company-1295,Manufacturing,Enterprise,244900,2026-01-13,-19,71,0.43,4,48,0,10,0.73,0.11,58,0,0,2026-01-05
ACC-1296,Company-1296,Healthcare,Pro,30421,2026-03-07,34,70,0.17,1,22,1,9,0.41,0.65,71,1,0,2025-12-05
ACC-1297,Company-1297,Healthcare,Pro,47286,2026-01-21,-11,73,0.46,2,5,0,7,0.21,0.4,72,0,0,2026-01-06
ACC-1298,Company-1298,Technology,Basic,13264,2026-04-05,63,78,0.28,4,18,0,6,0.14,0.36,81,0,0,2026-01-13
ACC-1299,Company-1299,Technology,Basic,15835,2026-11-02,274,87,0.07,5,40,0,7,0.73,0.51,16,0,0,2025-12-20
ACC-1300,Company-1300,Finance,Pro,46911,2026-01-13,-19,83,0.18,4,16,0,6,0.25,0.69,70,0,0,2026-01-03
ACC-1301,Company-1301,Manufacturing,Basic,12644,2026-12-29,331,85,0.14,4,45,0,9,0.59,0.42,13,0,0,2026-01-26
ACC-1302,Company-1302,Finance,Pro,38643,2027-01-23,356,77,0.15,8,42,0,7,0.75,0.11,65,0,0,2026-01-03
ACC-1303,Company-1303,Healthcare,Basic,14921,2026-02-26,25,76,0.49,0,25,0,5,0.2,0.78,57,1,0,2026-01-24
ACC-1304,Company-1304,Healthcare,Basic,8299,2027-01-18,351,85,0.27,1,38,0,9,0.83,0.28,83,0,1,2025-12-05
ACC-1305,Company-1305,Healthcare,Pro,37426,2026-11-07,279,67,0.47,5,43,0,5,0.26,0.27,96,1,0,2026-01-22
ACC-1306,Company-1306,Finance,Pro,22006,2026-10-31,272,59,0.5,8,22,0,7,0.95,0.27,12,1,0,2025-12-19
ACC-1307,Company-1307,Healthcare,Pro,23513,2026-09-13,224,73,0.07,2,31,1,10,0.75,0.81,41,1,0,2026-01-06
ACC-1308,Company-1308,Manufacturing,Pro,20012,2026-02-18,17,60,0.49,8,7,0,6,0.15,0.97,27,1,0,2026-01-16
ACC-1309,Company-1309,Technology,Enterprise,158906,2026-10-27,268,84,0.05,7,10,0,9,0.79,0.81,10,0,1,2026-01-09
ACC-1310,Company-1310,Retail,Pro,23059,2026-03-13,40,91,0.19,0,38,0,4,0.25,0.86,27,0,1,2026-01-04
ACC-1311,Company-1311,Finance,Enterprise,56285,2026-08-18,198,58,0.21,6,36,1,8,0.22,0.87,54,1,0,2025-12-20
ACC-1312,Company-1312,Finance,Pro,37587,2026-05-28,116,60,0.28,3,47,1,6,0.48,0.15,26,1,0,2025-12-13
ACC-1313,Company-1313,Retail,Basic,10099,2027-01-22,355,45,0.42,7,47,1,10,0.33,0.48,64,1,0,2026-01-23
ACC-1314,Company-1314,Finance,Basic,19032,2026-10-09,250,88,0.2,1,45,0,4,0.92,0.29,20,0,1,2026-01-12
ACC-1315,Company-1315,Technology,Enterprise,210908,2026-07-13,162,93,0.07,2,44,0,4,0.52,0.8,19,0,1,2025-12-16
ACC-1316,Company-1316,Technology,Basic,15744,2026-06-06,125,76,0.4,2,34,0,4,0.42,0.86,70,0,1,2026-01-20
ACC-1317,Company-1317,Healthcare,Basic,9172,2026-12-11,313,67,0.46,5,9,0,10,0.57,0.49,56,0,0,2025-12-31
ACC-1318,Company-1318,Manufacturing,Basic,8927,2026-03-18,45,90,0.08,3,7,0,10,0.17,0.23,94,0,0,2025-12-13
ACC-1319,Company-1319,Healthcare,Basic,10276,2026-09-09,220,66,0.4,7,45,0,5,0.25,0.99,26,1,0,2026-01-17
ACC-1320,Company-1320,Finance,Pro,25314,2026-06-19,138,81,0.19,5,6,0,4,0.77,0.12,12,0,0,2025-12-08
ACC-1321,Company-1321,Retail,Basic,7359,2026-05-13,101,77,0.27,5,12,0,5,0.86,0.83,41,0,1,2026-01-23
ACC-1322,Company-1322,Healthcare,Enterprise,236206,2026-07-11,160,78,0.16,7,25,0,7,0.94,0.75,73,0,1,2025-12-16
ACC-1323,Company-1323,Healthcare,Enterprise,195112,2026-11-02,274,76,0.37,3,47,0,9,0.46,0.13,16,0,0,2025-12-03
ACC-1324,Company-1324,Finance,Pro,47946,2026-06-18,137,82,0.29,2,23,0,9,0.23,0.81,24,0,1,2025-12-18
ACC-1325,Company-1325,Healthcare,Pro,26568,2026-08-13,193,63,0.42,8,2,0,6,0.16,0.24,34,1,0,2025-12-29
ACC-1326,Company-1326,Healthcare,Pro,36066,2026-11-23,295,61,0.07,8,4,1,6,0.19,0.16,52,1,0,2025-12-24
ACC-1327,Company-1327,Technology,Basic,7025,2026-02-27,26,79,0.11,8,37,0,6,0.76,0.49,20,0,0,2026-01-15
ACC-1328,Company-1328,Manufacturing,Basic,6457,2026-04-01,59,77,0.34,3,34,0,9,0.16,0.58,60,0,0,2025-12-31
ACC-1329,Company-1329,Retail,Enterprise,223934,2026-11-03,275,54,0.4,3,10,1,4,0.63,0.27,32,1,0,2025-12-10
ACC-1330,Company-1330,Healthcare,Basic,6208,2026-11-24,296,86,0.29,0,34,0,4,0.32,0.92,48,0,1,2025-12-28
ACC-1331,Company-1331,Retail,Pro,28011,2026-05-26,114,87,0.03,6,30,0,10,0.81,1.0,61,0,1,2025-12-11
ACC-1332,Company-1332,Technology,Enterprise,110223,2026-12-17,319,88,0.25,0,43,0,8,0.46,0.51,90,0,0,2026-01-19
ACC-1333,Company-1333,Retail,Basic,15657,2027-01-23,356,84,0.09,6,37,0,8,0.58,0.14,46,0,0,2025-12-21
ACC-1334,Company-1334,Technology,Pro,26365,2026-01-07,-25,78,0.17,7,44,0,9,0.43,0.64,52,0,0,2026-01-23
ACC-1335,Company-1335,Manufacturing,Pro,29627,2026-06-30,149,73,0.38,4,47,0,4,0.96,0.78,53,0,1,2025-12-20
ACC-1336,Company-1336,Retail,Pro,21234,2026-09-15,226,90,0.16,1,4,0,8,0.42,0.13,57,0,0,2026-01-17
ACC-1337,Company-1337,Retail,Pro,23326,2026-01-23,-9,66,0.44,6,9,0,8,0.56,0.86,14,1,0,2025-12-21
ACC-1338,Company-1338,Manufacturing,Basic,12460,2026-03-08,35,82,0.36,0,46,0,8,0.25,0.26,84,0,0,2026-01-22
ACC-1339,Company-1339,Healthcare,Enterprise,135873,2026-04-30,88,90,0.08,3,26,0,5,0.22,0.78,41,0,1,2026-01-22
ACC-1340,Company-1340,Technology,Enterprise,241443,2026-01-25,-7,85,0.14,4,16,0,6,0.2,0.86,46,0,1,2026-01-12
ACC-1341,Company-1341,Manufacturing,Enterprise,96034,2026-05-11,99,90,0.21,0,44,0,8,0.46,0.97,41,0,1,2026-01-10
ACC-1342,Company-1342,Finance,Basic,8947,2026-10-10,251,81,0.1,7,6,0,7,0.98,0.41,92,0,1,2025-12-05
ACC-1343,Company-1343,Technology,Basic,18937,2026-05-20,108,91,0.14,1,27,0,6,0.98,0.44,54,0,1,2025-12-27
ACC-1344,Company-1344,Healthcare,Basic,11976,2026-09-12,223,76,0.2,7,24,0,9,0.44,0.46,11,0,0,2025-12-22
ACC-1345,Company-1345,Finance,Enterprise,240306,2027-01-13,346,97,0.06,0,2,0,9,0.23,0.48,33,0,0,2025-12-03
ACC-1346,Company-1346,Technology,Basic,8132,2026-10-02,243,61,0.47,8,36,0,10,0.18,0.73,77,1,0,2026-01-13
ACC-1347,Company-1347,Finance,Pro,25666,2027-01-14,347,72,0.33,6,37,0,8,0.67,0.19,99,0,0,2025-12-17
ACC-1348,Company-1348,Technology,Basic,17570,2026-04-16,74,69,0.38,6,4,0,7,0.76,0.65,93,0,0,2026-01-23
ACC-1349,Company-1349,Retail,Basic,13030,2026-05-21,109,88,0.09,4,34,0,8,0.82,0.66,63,0,1,2025-12-04
ACC-1350,Company-1350,Healthcare,Basic,18218,2026-02-24,23,95,0.11,0,35,0,8,0.38,0.94,43,0,1,2025-12-23
ACC-1351,Company-1351,Healthcare,Basic,8781,2026-08-19,199,76,0.49,0,26,0,9,0.37,0.7,59,0,0,2026-01-25
ACC-1352,Company-1352,Finance,Pro,23137,2026-05-02,90,70,0.36,6,28,0,5,0.73,0.47,52,1,0,2026-01-17
ACC-1353,Company-1353,Healthcare,Basic,9163,2026-10-27,268,75,0.27,6,7,0,6,0.54,0.62,75,0,0,2025-12-15
ACC-1354,Company-1354,Finance,Pro,23533,2026-11-18,290,83,0.11,6,46,0,4,0.48,0.67,97,1,0,2026-01-20
ACC-1355,Company-1355,Manufacturing,Basic,12673,2026-02-06,5,86,0.24,1,20,0,6,0.84,0.39,39,0,1,2025-12-27
ACC-1356,Company-1356,Healthcare,Enterprise,98268,2026-05-24,112,88,0.04,5,26,0,10,0.3,0.73,67,0,0,2026-01-21
ACC-1357,Company-1357,Healthcare,Pro,32069,2026-02-06,5,75,0.26,6,32,0,9,0.55,0.58,29,0,0,2025-12-04
ACC-1358,Company-1358,Healthcare,Enterprise,193793,2027-01-12,345,76,0.49,0,27,0,5,0.92,0.42,31,1,0,2025-12-28
ACC-1359,Company-1359,Finance,Pro,34655,2026-07-12,161,93,0.02,3,28,0,9,0.86,0.42,36,0,1,2026-01-04
ACC-1360,Company-1360,Healthcare,Enterprise,146853,2026-09-10,221,86,0.05,6,31,0,8,0.94,0.77,43,0,1,2025-12-27
ACC-1361,Company-1361,Manufacturing,Basic,15646,2026-12-11,313,77,0.3,4,12,0,9,0.85,0.93,16,0,1,2026-01-13
ACC-1362,Company-1362,Retail,Basic,15744,2026-07-12,161,95,0.11,0,7,0,4,0.5,0.78,61,0,1,2025-12-04
ACC-1363,Company-1363,Finance,Enterprise,77787,2026-02-23,22,76,0.28,5,30,0,5,0.15,0.69,75,0,0,2025-12-16
ACC-1364,Company-1364,Finance,Basic,17449,2026-01-13,-19,82,0.12,6,13,0,10,0.84,0.7,17,0,1,2026-01-09
ACC-1365,Company-1365,Technology,Basic,14365,2026-02-15,14,67,0.47,5,20,0,8,0.75,0.58,81,0,0,2026-01-03
ACC-1366,Company-1366,Finance,Pro,20133,2026-09-23,234,70,0.29,8,2,0,5,0.34,0.74,22,1,0,2026-01-13
ACC-1367,Company-1367,Retail,Basic,17822,2026-05-17,105,96,0.05,1,2,0,7,0.13,0.27,87,0,0,2025-12-15
ACC-1368,Company-1368,Retail,Basic,15609,2026-11-12,284,83,0.1,6,17,0,9,0.52,0.4,64,0,0,2026-01-17
ACC-1369,Company-1369,Manufacturing,Basic,14570,2026-05-23,111,89,0.18,1,47,0,9,0.92,0.68,33,0,1,2025-12-16
ACC-1370,Company-1370,Healthcare,Basic,16179,2026-05-08,96,93,0.06,2,26,0,6,0.26,0.45,59,0,0,2026-01-05
ACC-1371,Company-1371,Healthcare,Enterprise,152796,2026-02-19,18,78,0.2,6,41,0,9,0.35,0.46,89,0,0,2026-01-22
ACC-1372,Company-1372,Finance,Enterprise,200519,2027-01-14,347,66,0.49,5,19,0,8,0.29,0.14,65,0,0,2025-12-10
ACC-1373,Company-1373,Retail,Enterprise,126293,2027-01-05,338,88,0.2,1,23,0,10,0.72,0.74,24,0,0,2026-01-19
ACC-1374,Company-1374,Finance,Enterprise,133673,2026-12-07,309,91,0.18,0,47,0,5,0.83,0.44,41,0,1,2025-12-20
ACC-1375,Company-1375,Healthcare,Basic,5734,2027-01-11,344,79,0.14,7,15,0,8,0.42,0.81,93,0,1,2026-01-18
ACC-1376,Company-1376,Technology,Basic,5684,2026-04-06,64,77,0.22,6,22,0,5,0.56,0.75,41,1,0,2026-01-13
ACC-1377,Company-1377,Finance,Enterprise,80317,2027-01-23,356,65,0.38,8,17,0,8,0.19,0.89,80,0,1,2026-01-30
ACC-1378,Company-1378,Manufacturing,Pro,36218,2026-11-06,278,94,0.09,1,16,0,6,0.59,0.12,15,0,0,2026-01-11
ACC-1379,Company-1379,Healthcare,Enterprise,210143,2026-01-07,-25,77,0.27,5,15,0,10,0.13,0.12,65,0,0,2025-12-30
ACC-1380,Company-1380,Manufacturing,Enterprise,163174,2026-02-09,8,78,0.32,3,48,0,5,0.56,0.64,91,0,0,2025-12-03
ACC-1381,Company-1381,Technology,Pro,20676,2026-01-14,-18,80,0.32,2,31,0,9,0.7,0.91,19,0,1,2025-12-29
ACC-1382,Company-1382,Retail,Pro,29190,2026-05-02,90,80,0.28,3,38,0,6,0.17,0.83,67,0,1,2025-12-04
ACC-1383,Company-1383,Technology,Pro,26649,2026-07-05,154,67,0.35,8,41,0,9,0.42,0.53,93,0,0,2026-01-04
ACC-1384,Company-1384,Technology,Enterprise,216587,2026-09-01,212,83,0.1,6,36,0,4,0.89,0.12,74,1,0,2025-12-31
ACC-1385,Company-1385,Technology,Pro,29678,2026-12-29,331,89,0.19,1,39,0,4,0.67,0.68,45,0,0,2026-01-17
ACC-1386,Company-1386,Manufacturing,Basic,5090,2026-04-03,61,73,0.27,7,46,0,9,0.3,0.39,29,0,0,2026-01-16
ACC-1387,Company-1387,Technology,Pro,38024,2026-12-01,303,71,0.38,5,4,0,5,0.68,0.82,93,0,1,2025-12-09
ACC-1388,Company-1388,Finance,Pro,25390,2026-12-27,329,84,0.21,3,43,0,7,0.55,0.62,36,0,0,2026-01-06
ACC-1389,Company-1389,Manufacturing,Basic,6765,2026-03-24,51,83,0.19,4,22,0,4,0.59,0.94,60,0,1,2026-01-09
ACC-1390,Company-1390,Healthcare,Enterprise,79707,2026-05-22,110,72,0.33,6,10,0,9,0.74,0.31,94,0,0,2025-12-13
ACC-1391,Company-1391,Retail,Pro,27771,2027-01-18,351,63,0.47,7,4,0,4,0.86,0.85,37,1,0,2026-01-04
ACC-1392,Company-1392,Healthcare,Enterprise,213553,2026-06-09,128,71,0.34,6,25,0,6,0.9,0.71,47,0,1,2025-12-19
ACC-1393,Company-1393,Manufacturing,Pro,36029,2026-01-16,-16,73,0.23,8,24,0,9,0.84,0.56,42,0,1,2026-01-26
ACC-1394,Company-1394,Retail,Basic,18958,2026-05-13,101,86,0.17,3,15,0,8,0.1,0.53,21,0,0,2025-12-21
